COD OFICINA,ACTUAL COD REGION COMERCIAL,NUEVO COD REGION COMERCIAL,ACTUAL COD ZONA COMERCIAL,NUEVO COD ZONA COMERCIAL,ACTUAL NOMBRE REGION COMERCIAL,NUEVO NOMBRE REGION COMERCIAL,ACTUAL NOMBRE ZONA COMERCIAL,NUEVO NOMBRE ZONA COMERCIAL,Actual Nombre oficina,NUEVO NOMBRE OFICINA,NOMBRE GERENCIA/AREA,NOMBRE DISTRITO ACTUAL,NOMBRE NUEVO DISTRITO
0206,04,,004,002,ANT-OCC-TOLIMA      ,DIRECCION ANTIOQUIA Y EJE, NUEVO QUINDIO       ,GZ EJE CAFETERO,CARTAGO             ,No Aplica,,-,Distrito Area Metropolitina Pereira
0208,42,,006,001,DIRECCION DISTRITOS ,DIRECCION CAPITAL, GCIA DISTRITO BTA 6 ,GZ DISTRITOS BTA 1,C. C. MAZUREN       ,No Aplica,,Gcia. Distrito Bogotá 6,Distrito BTA 2
0214,42,04,053,001,DIRECCION DISTRITOS ,DIRECCION ANTIOQUIA Y EJE, G.DISTRITO MDLLIN 7 ,GZ DISTRITOS VALLE DE ABURRA,CENTRO COM.SAN DIEGO,No Aplica,,Gcia. Distrito Medellín 7,Distrito Medellin 4
0216,06,,003,002,NORORIENTE          ,DIRECCION CARIBE, CORDOBA-SUCRE       ,GZ CORDOBA Y SUCRE,CERETE              ,No Aplica,,-,Distrito Monteria
0217,42,04,052,001,DIRECCION DISTRITOS ,DIRECCION ANTIOQUIA Y EJE, G.DISTRITO MDLLIN 6 ,GZ DISTRITOS VALLE DE ABURRA,CENTRO COMERC OVIEDO,No Aplica,,Gcia. Distrito Medellín 6,Distrito Medellin 6
0218,04,,005,002,ANT-OCC-TOLIMA      ,DIRECCION ANTIOQUIA Y EJE, RISARALDA-CALDAS    ,GZ EJE CAFETERO,CTRO CIAL CABLE PLAZ,No Aplica,,-,Distrito Manizales
0220,06,,005,003,NORORIENTE          ,DIRECCION CARIBE, MAGDALENA-GUAJIRA   ,GZ DISTRITOS B/QUILLA C/GENA Y STA MTA,CIENAGA             ,No Aplica,,-,Distrito Sta Marta
0221,06,,005,003,NORORIENTE          ,DIRECCION CARIBE, MAGDALENA-GUAJIRA   ,GZ DISTRITOS B/QUILLA C/GENA Y STA MTA,CTRO CIAL BUENAVISTA,No Aplica,,-,Distrito Sta Marta
0224,06,,002,001,NORORIENTE          ,DIRECCION CARIBE, CESAR               ,GZ CESAR MAGDALENA Y GUAJIRA,CODAZZI             ,No Aplica,,-,-
0225,42,04,051,001,DIRECCION DISTRITOS ,DIRECCION ANTIOQUIA Y EJE, G.DISTRITO MDLLIN 7 ,GZ DISTRITOS VALLE DE ABURRA,BOULEVARD MAYORCA   ,No Aplica,,Gcia. Distrito Medellín 5,Distrito Medellin 7
0226,42,07,045,001,DIRECCION DISTRITOS ,DIRECCION OCCIDENTE, G.DISTRITO CALI 7   ,GZ DISTRITOS CALI,CENTRO CCIAL UNICO  ,No Aplica,,Gcia. Distrito Cali 7,Distrito Cali 4
0228,42,,006,001,DIRECCION DISTRITOS ,DIRECCION CAPITAL, GCIA DISTRITO BTA 6 ,GZ DISTRITOS BTA 1,C CIAL PSEO S RAFAEL,No Aplica,,Gcia. Distrito Bogotá 6,Distrito BTA 4
0229,08,,003,001,CENTRAL             ,DIRECCION CENTRAL, CUNDINAMARCA        ,GZ CUNDINAMARCA SUR,GRANADA CUNDINAMARCA,No Aplica,,-,-
0231,08,,003,004,CENTRAL             ,DIRECCION CENTRAL, CUNDINAMARCA        ,GZ CUNDINAMARCA SUR,SOLARES VILLETA     ,No Aplica,,-,-
0232,04,,007,001,ANT-OCC-TOLIMA      ,DIRECCION ANTIOQUIA Y EJE, URABA-MPIOS ANTIOQ  ,GZ DISTRITOS VALLE DE ABURRA,COPACABANA          ,No Aplica,,-,Distrito Medellin 1
0235,06,,005,003,NORORIENTE          ,DIRECCION CARIBE, MAGDALENA-GUAJIRA   ,GZ DISTRITOS B/QUILLA C/GENA Y STA MTA,CTRO CIAL OCEAN MALL,No Aplica,,-,Distrito Sta Marta
0236,42,04,049,001,DIRECCION DISTRITOS ,DIRECCION ANTIOQUIA Y EJE, G.DISTRITO MDLLIN 3 ,GZ DISTRITOS VALLE DE ABURRA,CTR CIAL LOS MOLINOS,No Aplica,,Gcia. Distrito Medellín 3,Distrito Medellin 5
0237,42,,002,001,DIRECCION DISTRITOS ,DIRECCION CAPITAL, GCIA DISTRITO BTA 2 ,GZ DISTRITOS BTA 1,CTRO PLAZA IMPERIAL ,No Aplica,,Gcia. Distrito Bogotá 2,Distrito BTA 3
0238,04,,007,003,ANT-OCC-TOLIMA      ,DIRECCION ANTIOQUIA Y EJE, URABA-MPIOS ANTIOQ  ,GZ MUNICIPOS DE ANTIOQUIA,CTRO CIAL PLAZA RIO ,No Aplica,,-,Distrito Uraba
0239,42,,001,,DIRECCION DISTRITOS ,DIRECCION CAPITAL, GCIA DISTRITO BTA 1 ,GZ DISTRITOS BTA 1,CENTRO CHIA         ,No Aplica,,Gcia. Distrito Bogotá 1,Distrito BTA 1
0240,06,,001,002,NORORIENTE          ,DIRECCION CARIBE, BOLIVAR-SAN ANDRES  ,GZ CORDOBA Y SUCRE,COROZAL             ,No Aplica,,-,Distrito Sincelejo
0244,08,,004,002,CENTRAL             ,DIRECCION CENTRAL, HUILA               ,GZ HUILA,CTRO CIAL SAN PEDRO ,No Aplica,,-,Distrito Neiva
0249,42,07,040,001,DIRECCION DISTRITOS ,DIRECCION OCCIDENTE, G.DISTRITO CALI 2   ,GZ DISTRITOS CALI,COSMOCENTRO         ,No Aplica,,Gcia. Distrito Cali 2,Distrito Cali 2
0250,42,04,053,001,DIRECCION DISTRITOS ,DIRECCION ANTIOQUIA Y EJE, G.DISTRITO MDLLIN 7 ,GZ DISTRITOS VALLE DE ABURRA,CARRERA BOLIVAR     ,No Aplica,,Gcia. Distrito Medellín 7,Distrito Medellin 4
0256,42,07,043,001,DIRECCION DISTRITOS ,DIRECCION OCCIDENTE, G.DISTRITO CALI 5   ,GZ DISTRITOS CALI,BULEVAR DEL RIO CALI,No Aplica,,Gcia. Distrito Cali 5,Distrito Cali 3
0259,06,41,004,009,NORORIENTE          ,DIRECCION ORIENTE, MAGDALENA MEDIO     ,GZ MAGDALENA MEDIO,OFI SABANA DE TORRES,No Aplica,,-,Distrito Barrancabermeja
0260,06,41,006,010,NORORIENTE          ,DIRECCION ORIENTE, NTE SANTAND ARAUCA  ,GZ NORTE DE SANTANDER Y ARAUCA,CUCUTA              ,No Aplica,,-,Distrito Cucuta 1
0261,42,,019,003,DIRECCION DISTRITOS ,DIRECCION CAPITAL, GCIA DISTRITO BTA 19,GZ DISTRITOS BTA 3,C CIAL MERCURIO     ,No Aplica,,Gcia. Distrito Bogotá 19,Distrito BTA 16
0263,08,,007,001,CENTRAL             ,DIRECCION CENTRAL,TERRITORIOS NAC CUND,GZ CUNDINAMARCA SUR,MELGAR              ,No Aplica,,-,-
0264,42,,001,,DIRECCION DISTRITOS ,DIRECCION CAPITAL,GCIA DISTRITO BTA 1 ,GZ DISTRITOS BTA 1,CHIA                ,No Aplica,,Gcia. Distrito Bogotá 1,Distrito BTA 1
0266,04,,005,002,ANT-OCC-TOLIMA      ,DIRECCION ANTIOQUIA Y EJE, RISARALDA-CALDAS    ,GZ EJE CAFETERO,CHINCHINA           ,No Aplica,,-,Distrito Manizales
0267,04,,002,005,ANT-OCC-TOLIMA      ,DIRECCION ANTIOQUIA Y EJE, MUNICIPIOS ANTIOQUIA,GZ VALLE DE SAN NICOLAS Y CHOCO,LA CEJA             ,No Aplica,,-,Distrito Valle de San Nicolas
0268,08,41,002,007,CENTRAL             ,DIRECCION ORIENTE,BYCA Y NTE DE CMARCA,GZ BOYACA,CHIQUINQUIRA        ,No Aplica,,-,-
0269,04,08,006,,ANT-OCC-TOLIMA      ,DIRECCION CENTRAL,TOLIMA              ,GZ TOLIMA,LIBANO              ,No Aplica,,-,-
0270,08,41,002,007,CENTRAL             ,DIRECCION ORIENTE, BYCA Y NTE DE CMARCA,GZ BOYACA,CHOCONTA            ,No Aplica,,-,-
0272,42,,019,003,DIRECCION DISTRITOS ,DIRECCION CAPITAL,GCIA DISTRITO BTA 19,GZ DISTRITOS BTA 3,SOACHA              ,No Aplica,,Gcia. Distrito Bogotá 19,Distrito BTA 16
0274,42,,022,003,DIRECCION DISTRITOS ,DIRECCION CAPITAL,GCIA DISTRITO BTA 22,GZ DISTRITOS BTA 3,C CIAL HAYUELOS     ,No Aplica,,Gcia. Distrito Bogotá 22,Distrito BTA 20
0275,42,,024,001,DIRECCION DISTRITOS ,DIRECCION CAPITAL,GCIA DISTRITO BTA 24,GZ DISTRITOS BTA 1,PORTAL DE LA 80     ,No Aplica,,Gcia. Distrito Bogotá 24,Distrito BTA 5
0279,04,,005,002,ANT-OCC-TOLIMA      ,DIRECCION ANTIOQUIA Y EJE,RISARALDA-CALDAS    ,GZ EJE CAFETERO,DOSQUEBRADAS        ,No Aplica,,-,Distrito Area Metropolitina Pereira
0281,04,,005,002,ANT-OCC-TOLIMA      ,DIRECCION ANTIOQUIA Y EJE, RISARALDA-CALDAS    ,GZ EJE CAFETERO,MALL PLAZA MANIZALEZ,MALL PLAZA MANIZALES,,-,Distrito Manizales
0282,08,41,001,007,CENTRAL             ,DIRECCION ORIENTE, BOYACA              ,GZ BOYACA,DUITAMA             ,No Aplica,,-,-
0283,42,41,038,008,DIRECCION DISTRITOS ,DIRECCION ORIENTE, G.DISTRITO BMANGA 3 ,GZ BUCARAMANGA,SAN FRANCISCO       ,No Aplica,,Gcia. Distrito B/manga 3,Distrito B/manga 3
0284,06,,005,001,NORORIENTE          ,DIRECCION CARIBE, MAGDALENA-GUAJIRA   ,GZ CESAR MAGDALENA Y GUAJIRA,EL BANCO            ,No Aplica,,-,-
0285,04,,002,005,ANT-OCC-TOLIMA      ,DIRECCION ANTIOQUIA Y EJE, MUNICIPIOS ANTIOQUIA,GZ VALLE DE SAN NICOLAS Y CHOCO,EL CARMEN DE VIBORAL,No Aplica,,-,Distrito Valle de San Nicolas
0286,06,,001,002,NORORIENTE          ,DIRECCION CARIBE,BOLIVAR-SAN ANDRES  ,GZ CORDOBA Y SUCRE,EL CARMEN           ,No Aplica,,-,-
0287,04,07,008,004,ANT-OCC-TOLIMA      ,DIRECCION OCCIDENTE, VALLE DEL CAUCA     ,GZ VALLE DEL CAUCA,EL CERRITO          ,No Aplica,,-,Distrito Palmira y Candelaria
0289,04,07,008,004,ANT-OCC-TOLIMA      ,DIRECCION OCCIDENTE, VALLE DEL CAUCA     ,GZ VALLE DEL CAUCA,CANDELARIA          ,No Aplica,,-,Distrito Palmira y Candelaria
0292,42,06,033,003,DIRECCION DISTRITOS ,DIRECCION CARIBE, G.DISTRITO BQUILLA 2,GZ DISTRITOS B/QUILLA C/GENA Y STA MTA,EL PRADO            ,No Aplica,,Gcia. Distrito B/quilla 2,Distrito B/quilla 2
0293,42,06,035,003,DIRECCION DISTRITOS ,DIRECCION CARIBE,G.DISTRITO BQUILLA 4,GZ DISTRITOS B/QUILLA C/GENA Y STA MTA,CTR CIAL PARQ ALEGRA,No Aplica,,Gcia. Distrito B/quilla 4,Distrito B/quilla 4
0294,42,04,053,001,DIRECCION DISTRITOS ,DIRECCION ANTIOQUIA Y EJE,G.DISTRITO MDLLIN 7 ,GZ DISTRITOS VALLE DE ABURRA,ENVIGADO            ,No Aplica,,Gcia. Distrito Medellín 7,Distrito Medellin 6
0295,04,07,008,004,ANT-OCC-TOLIMA      ,DIRECCION OCCIDENTE, VALLE DEL CAUCA     ,GZ VALLE DEL CAUCA,DAGUA               ,No Aplica,,-,-
0296,04,08,006,,ANT-OCC-TOLIMA      ,DIRECCION CENTRAL, TOLIMA              ,GZ TOLIMA,ESPINAL             ,No Aplica,,-,-
0299,42,,026,003,DIRECCION DISTRITOS ,DIRECCION CAPITAL, GCIA DISTRITO BTA 26,GZ DISTRITOS BTA 3,C CIAL GRAN ESTACION,No Aplica,,Gcia. Distrito Bogotá 26,Distrito BTA 22
0303,06,41,006,010,NORORIENTE          ,DIRECCION ORIENTE,NTE SANTAND ARAUCA  ,GZ NORTE DE SANTANDER Y ARAUCA,CUCUTA AV QUINTA    ,No Aplica,,-,Distrito Cucuta 1
0304,08,,003,004,CENTRAL             ,DIRECCION CENTRAL, CUNDINAMARCA        ,GZ MUNICIPIOS DE CUNDINAMARCA,FACATATIVA          ,No Aplica,,-,-
0309,04,08,006,,ANT-OCC-TOLIMA      ,DIRECCION CENTRAL, TOLIMA              ,GZ TOLIMA,LA ESTACION CTR CIAL,No Aplica,,-,Distrito Ibague
0310,42,06,035,003,DIRECCION DISTRITOS ,DIRECCION CARIBE, G.DISTRITO BQUILLA 4,GZ DISTRITOS B/QUILLA C/GENA Y STA MTA,BARANOA             ,No Aplica,,Gcia. Distrito B/quilla 4,Distrito B/quilla 4
0311,06,41,004,009,NORORIENTE          ,DIRECCION ORIENTE,MAGDALENA MEDIO     ,GZ MAGDALENA MEDIO,SAN GIL             ,No Aplica,,-,-
0312,08,,007,005,CENTRAL             ,DIRECCION CENTRAL, TERRITORIOS NAC CUND,GZ TERRITORIOS ORIENTE COLOMBIANO,FLORENCIA           ,No Aplica,,-,Distrito Florencia
0313,04,,005,002,ANT-OCC-TOLIMA      ,DIRECCION ANTIOQUIA Y EJE,RISARALDA-CALDAS    ,GZ EJE CAFETERO,CTRO CIAL FUNDADORES,No Aplica,,-,Distrito Manizales
0314,04,07,008,004,ANT-OCC-TOLIMA      ,DIRECCION OCCIDENTE, VALLE DEL CAUCA     ,GZ VALLE DEL CAUCA,FLORIDA             ,No Aplica,,-,-
0315,06,,003,002,NORORIENTE          ,DIRECCION CARIBE, CORDOBA-SUCRE       ,GZ CORDOBA Y SUCRE,CC ALAMEDAS         ,No Aplica,,-,Distrito Monteria
0316,42,,023,003,DIRECCION DISTRITOS ,DIRECCION CAPITAL, GCIA DISTRITO BTA 23,GZ DISTRITOS BTA 3,C.C. MILENION PLAZA ,No Aplica,,Gcia. Distrito Bogotá 23,Distrito BTA 20
0318,06,,002,001,NORORIENTE          ,DIRECCION CARIBE,CESAR               ,GZ CESAR MAGDALENA Y GUAJIRA,FONSECA             ,No Aplica,,-,-
0319,42,41,036,008,DIRECCION DISTRITOS ,DIRECCION ORIENTE, G.DISTRITO BMANGA 1 ,GZ BUCARAMANGA,FLORIDABLANCA       ,No Aplica,,Gcia. Distrito B/manga 1,Distrito B/manga 1
0322,04,,007,003,ANT-OCC-TOLIMA      ,DIRECCION ANTIOQUIA Y EJE, URABA-MPIOS ANTIOQ  ,GZ MUNICIPOS DE ANTIOQUIA,FRONTINO            ,No Aplica,,-,-
0324,04,,002,005,ANT-OCC-TOLIMA      ,DIRECCION ANTIOQUIA Y EJE, MUNICIPIOS ANTIOQUIA,GZ VALLE DE SAN NICOLAS Y CHOCO,ANDES ANTIOQUIA     ,No Aplica,,-,-
0326,06,,005,001,NORORIENTE          ,DIRECCION CARIBE,MAGDALENA-GUAJIRA   ,GZ CESAR MAGDALENA Y GUAJIRA,FUNDACION           ,No Aplica,,-,-
0327,42,,022,003,DIRECCION DISTRITOS ,DIRECCION CAPITAL, GCIA DISTRITO BTA 22,GZ DISTRITOS BTA 3,NORMANDIA           ,No Aplica,,Gcia. Distrito Bogotá 22,Distrito BTA 21
0329,42,,018,002,DIRECCION DISTRITOS ,DIRECCION CAPITAL,GCIA DISTRITO BTA 18,GZ DISTRITOS BTA 2,CTRO CIAL ALTAVISTA ,No Aplica,,Gcia. Distrito Bogotá 18,Distrito BTA 15
0334,08,,006,004,CENTRAL             ,DIRECCION CENTRAL,SABANA              ,GZ MUNICIPIOS DE CUNDINAMARCA,GACHETA             ,No Aplica,,-,-
0336,08,41,002,007,CENTRAL             ,DIRECCION ORIENTE, BYCA Y NTE DE CMARCA,GZ BOYACA,GARAGOA             ,No Aplica,,-,-
0338,08,,004,002,CENTRAL             ,DIRECCION CENTRAL,HUILA               ,GZ HUILA,GARZON              ,No Aplica,,-,-
0340,37,,005,,DIR BANCA PREMIUM   ,DIRECCION BANCA PREMIUM, PREMIUM ANTQ-OCCIDE ,GZ PREMIUM ANTQ-EJECAF,OF PREM PEREIRA     ,No Aplica,,,
0341,06,,003,002,NORORIENTE          ,DIRECCION CARIBE, CORDOBA-SUCRE       ,GZ CORDOBA Y SUCRE,PQ COMERCIAL GUACARI,No Aplica,,-,Distrito Sincelejo
0346,04,07,008,004,ANT-OCC-TOLIMA      ,DIRECCION OCCIDENTE, VALLE DEL CAUCA     ,GZ VALLE DEL CAUCA,GINEBRA             ,No Aplica,,-,Distrito Norte del Valle
0348,08,,007,001,CENTRAL             ,DIRECCION CENTRAL, TERRITORIOS NAC CUND,GZ CUNDINAMARCA SUR,GIRARDOT            ,No Aplica,,-,-
0349,04,,007,001,ANT-OCC-TOLIMA      ,DIRECCION ANTIOQUIA Y EJE,URABA-MPIOS ANTIOQ  ,GZ DISTRITOS VALLE DE ABURRA,GIRARDOTA           ,No Aplica,,-,Distrito Medellin 1
0350,08,,008,003,CENTRAL             ,DIRECCION CENTRAL, VILLAVICENCIO       ,GZ META,GRANADA             ,No Aplica,,-,-
0351,08,,008,003,CENTRAL             ,DIRECCION CENTRAL, VILLAVICENCIO       ,GZ META,CTR VILLVICENCIO    ,No Aplica,,-,Distrito Villavicencio 1
0352,04,07,008,004,ANT-OCC-TOLIMA      ,DIRECCION OCCIDENTE, VALLE DEL CAUCA     ,GZ VALLE DEL CAUCA,GUACARI             ,No Aplica,,-,Distrito Norte del Valle
0353,08,,001,005,CENTRAL             ,DIRECCION CENTRAL, BOYACA              ,GZ TERRITORIOS ORIENTE COLOMBIANO,MONTERREY           ,No Aplica,,-,-
0354,08,,008,003,CENTRAL             ,DIRECCION CENTRAL, VILLAVICENCIO       ,GZ META,PARQ RIVEROS ACACIAS,No Aplica,,-,-
0356,08,,003,006,CENTRAL             ,DIRECCION CENTRAL, CUNDINAMARCA        ,GZ TOLIMA,GUADUAS             ,No Aplica,,-,-
0357,08,,008,003,CENTRAL             ,DIRECCION CENTRAL, VILLAVICENCIO       ,GZ META,C C VIVA V/VICENCIO ,No Aplica,,-,Distrito Villavicencio 2
0358,08,,008,003,CENTRAL             ,DIRECCION CENTRAL, VILLAVICENCIO       ,GZ META,GUAMAL              ,No Aplica,,-,-
0359,42,,005,001,DIRECCION DISTRITOS ,DIRECCION CAPITAL, GCIA DISTRITO BTA 5 ,GZ DISTRITOS BTA 1,OFICINA SANTA ANA   ,No Aplica,,Gcia. Distrito Bogotá 5,Distrito BTA 6
0360,08,41,002,007,CENTRAL             ,DIRECCION ORIENTE, BYCA Y NTE DE CMARCA,GZ BOYACA,GUATEQUE            ,No Aplica,,-,-
0361,08,,008,003,CENTRAL             ,DIRECCION CENTRAL,VILLAVICENCIO       ,GZ META,RESTREPO META       ,No Aplica,,-,Distrito Villavicencio 2
0363,04,08,006,,ANT-OCC-TOLIMA      ,DIRECCION CENTRAL, TOLIMA              ,GZ TOLIMA,MARIQUITA           ,No Aplica,,-,-
0364,08,,008,003,CENTRAL             ,DIRECCION CENTRAL, VILLAVICENCIO       ,GZ META,LOS CENTAUROS       ,No Aplica,,-,Distrito Villavicencio 1
0366,04,08,006,,ANT-OCC-TOLIMA      ,DIRECCION CENTRAL, TOLIMA              ,GZ TOLIMA,HONDA               ,No Aplica,,-,-
0370,04,08,006,,ANT-OCC-TOLIMA      ,DIRECCION CENTRAL, TOLIMA              ,GZ TOLIMA,IBAGUE              ,No Aplica,,-,Distrito Ibague
0374,04,07,003,002,ANT-OCC-TOLIMA      ,DIRECCION OCCIDENTE, NARINO CAUCA        ,GZ NARINO Y CAUCA,IPIALES             ,No Aplica,,-,-
0375,08,,007,005,CENTRAL             ,DIRECCION CENTRAL, TERRITORIOS NAC CUND,GZ TERRITORIOS ORIENTE COLOMBIANO,SAN VIC DEL CAGUAN  ,No Aplica,,-,-
0377,08,41,001,007,CENTRAL             ,DIRECCION ORIENTE,BOYACA              ,GZ BOYACA,NOBSA               ,No Aplica,,-,-
0378,04,,002,003,ANT-OCC-TOLIMA      ,DIRECCION ANTIOQUIA Y EJE, MUN.ANTIOQUIA CHOCO ,GZ VALLE DE SAN NICOLAS Y CHOCO,ISTMINA             ,No Aplica,,-,-
0380,42,,010,001,DIRECCION DISTRITOS ,DIRECCION CAPITAL, GCIA DISTRITO BTA 10,GZ DISTRITOS BTA 1,ISERRA 100          ,No Aplica,,Gcia. Distrito Bogotá 10,Distrito BTA 4
0382,42,04,054,001,DIRECCION DISTRITOS ,DIRECCION ANTIOQUIA Y EJE,G.DISTRITO MDLLIN 8 ,GZ DISTRITOS VALLE DE ABURRA,ITAGUI              ,No Aplica,,Gcia. Distrito Medellín 8,Distrito Medellin 7
0383,08,,004,002,CENTRAL             ,DIRECCION CENTRAL, HUILA               ,GZ HUILA,SAN AGUSTIN-HUILA   ,No Aplica,,-,-
0384,42,,005,001,DIRECCION DISTRITOS ,DIRECCION CAPITAL, GCIA DISTRITO BTA 5 ,GZ DISTRITOS BTA 1,C EMPR. NORTH POINT ,No Aplica,,Gcia. Distrito Bogotá 5,Distrito BTA 2
0386,42,04,050,001,DIRECCION DISTRITOS ,DIRECCION ANTIOQUIA Y EJE, G.DISTRITO MDLLIN 4 ,GZ DISTRITOS VALLE DE ABURRA,CARRERA JUNIN       ,No Aplica,,Gcia. Distrito Medellín 4,Distrito Medellin 3
0387,42,06,035,003,DIRECCION DISTRITOS ,DIRECCION CARIBE, G.DISTRITO BQUILLA 4,GZ DISTRITOS B/QUILLA C/GENA Y STA MTA,METROCENTRO         ,No Aplica,,Gcia. Distrito B/quilla 4,Distrito B/quilla 4
0389,06,,001,003,NORORIENTE          ,DIRECCION CARIBE,BOLIVAR-SAN ANDRES  ,GZ DISTRITOS B/QUILLA C/GENA Y STA MTA,LA PLAZUELA         ,No Aplica,,-,Distrito Cartagena
0390,04,08,006,,ANT-OCC-TOLIMA      ,DIRECCION CENTRAL, TOLIMA              ,GZ TOLIMA,LA DORADA           ,No Aplica,,-,-
0391,42,07,046,001,DIRECCION DISTRITOS ,DIRECCION OCCIDENTE, G.DISTRITO CALI 8   ,GZ DISTRITOS CALI,CHIPICHAPE          ,No Aplica,,Gcia. Distrito Cali 8,Distrito Cali 5
0393,42,04,052,001,DIRECCION DISTRITOS ,DIRECCION ANTIOQUIA Y EJE, G.DISTRITO MDLLIN 6 ,GZ DISTRITOS VALLE DE ABURRA,CTRO CIAL STFE MLLIN,No Aplica,,Gcia. Distrito Medellín 6,Distrito Medellin 6
0394,08,,003,001,CENTRAL             ,DIRECCION CENTRAL, CUNDINAMARCA        ,GZ CUNDINAMARCA SUR,LA MESA             ,No Aplica,,-,-
0396,08,,003,001,CENTRAL             ,DIRECCION CENTRAL, CUNDINAMARCA        ,GZ CUNDINAMARCA SUR,OFICINA FUSAGASUGA  ,No Aplica,,-,-
0398,08,,004,002,CENTRAL             ,DIRECCION CENTRAL, HUILA               ,GZ HUILA,LA PLATA            ,No Aplica,,-,-
0402,04,,004,002,ANT-OCC-TOLIMA      ,DIRECCION ANTIOQUIA Y EJE, NUEVO QUINDIO       ,GZ EJE CAFETERO,LA VIRGINIA         ,No Aplica,,-,Distrito Area Metropolitina Pereira
0406,42,04,053,001,DIRECCION DISTRITOS ,DIRECCION ANTIOQUIA Y EJE, G.DISTRITO MDLLIN 7 ,GZ DISTRITOS VALLE DE ABURRA,VIVA ENVIGADO       ,No Aplica,,Gcia. Distrito Medellín 7,Distrito Medellin 6
0407,08,,007,005,CENTRAL             ,DIRECCION CENTRAL, TERRITORIOS NAC CUND,GZ TERRITORIOS ORIENTE COLOMBIANO,LETICIA             ,No Aplica,,-,-
