COD OFICINA,COD REGION COMERCIAL,COD ZONA COMERCIAL,NOMBRE REGION COMERCIAL,NOMBRE ZONA COMERCIAL,NOMBRE OFICINA
1721,03,006,DIR SEG CORP - INST,GZ Ss No Fros-Corp,GER CORPORATIV 1721
1722,03,005,DIR SEG CORP - INST,GZ Infr RecNat-Corp,GER CORPORATIV 1722
1725,03,002,DIR SEG CORP - INST,GZ Cio y Manuf-Corp,GER CORPORATIV 1725
1726,03,004,DIR SEG CORP - INST,GZ Fro Instit-Inst,GER INSTITUC 1726
1729,01,001,DIR SEG EMPRESARIAL,GZ Btá 3 - Emp,GER EMPRESARIA 1729
1730,01,003,DIR SEG EMPRESARIAL,GZ Btá 1 - Emp,GER EMPRESARIA 1730
1731,03,002,DIR SEG CORP - INST,GZ Cio y Manuf-Corp,GER CORPORATIV 1731
1732,03,006,DIR SEG CORP - INST,GZ Ss No Fros-Corp,GER CORPORATIV 1732
1733,01,003,DIR SEG EMPRESARIAL,GZ Btá 1 - Emp,GER EMPRESARIA 1733
1735,03,006,DIR SEG CORP - INST,GZ Ss No Fros-Corp,GER CORPORATIV 1735
1736,01,004,DIR SEG EMPRESARIAL,GZ Btá 2A - Emp,GER EMPRESARIA 1736
1737,01,001,DIR SEG EMPRESARIAL,GZ Btá 3 - Emp,GER EMPRESARIA 1737
1738,03,005,DIR SEG CORP - INST,GZ Infr RecNat-Corp,GER CORPORATIV 1738
1739,01,006,DIR SEG EMPRESARIAL,GZ Costa - Emp,GER EMPRESARIA 1739
1740,01,006,DIR SEG EMPRESARIAL,GZ Costa - Emp,GER EMPRESARIA 1740
1742,03,002,DIR SEG CORP - INST,GZ Cio y Manuf-Corp,GER CORPORATIV 1742
1743,01,008,DIR SEG EMPRESARIAL,GZ Occidente - Emp,GER EMPRESARIA 1743
1744,01,008,DIR SEG EMPRESARIAL,GZ Occidente - Emp,GER EMPRESARIA 1744
1747,03,005,DIR SEG CORP - INST,GZ Infr RecNat-Corp,GER CORPORATIV 1747
1748,17,010,DIR SEG MEDIANA,GZ Construct - Med,GER PYME 1748
1749,35,004,DIR SEG OFICIAL,GZ Central - Ofic,G.OFICIAL 1749
1751,01,002,DIR SEG EMPRESARIAL,GZ Antioquia - Emp,GER EMPRESARIA 1751
1759,01,010,DIR SEG EMPRESARIAL,NORMALIZ,GCIA EMPR NORMALIZ
1761,03,007,DIR SEG CORP - INST,NORMALIZ,GER CORP NORMALIZA
1763,17,002,DIR SEG MEDIANA,GZ Btá 4 - Med,GER PYME 1763
1764,03,002,DIR SEG CORP - INST,GZ Cio y Manuf-Corp,GER CORPORATIV 1764
1765,35,003,DIR SEG OFICIAL,GZ Occidente - Ofic,G. OFICIAL 1765
1766,01,004,DIR SEG EMPRESARIAL,GZ Btá 2A - Emp,GER EMPRESARIA 1766
1774,17,010,DIR SEG MEDIANA,GZ Construct - Med,GER PYME 1774
1776,01,005,DIR SEG EMPRESARIAL,GZ Btá 2B - Emp,GER EMPRESARIA 1776
1779,03,005,DIR SEG CORP - INST,GZ Infr RecNat-Corp,GER CORPORATIV 1779
1782,03,004,DIR SEG CORP - INST,GZ Fro Instit-Inst,GER INSTITUC 1782
1783,03,004,DIR SEG CORP - INST,GZ Fro Instit-Inst,GER INSTITUC 1783
1784,03,003,DIR SEG CORP - INST,GZ Const Inmob-Corp,GER CORPORATIV 1784
1786,03,001,DIR SEG CORP - INST,GZ Agroind-Corp,GER CORPORATIV 1786
1797,17,006,DIR SEG MEDIANA,GZ Costa - Med,GER PYME 1797
1831,03,003,DIR SEG CORP - INST,GZ Const Inmob-Corp,GER CORPORATIV 1831
1832,01,008,DIR SEG EMPRESARIAL,GZ Occidente - Emp,GER EMPRESARIA 1832
1838,35,002,DIR SEG OFICIAL,GZ Costa - Ofic,G.OFICIAL 1838
1839,35,004,DIR SEG OFICIAL,GZ Central - Ofic,G.OFICIAL 1839
1840,35,005,DIR SEG OFICIAL,GZ Oriente - Ofic,G.OFICIAL 1840
1841,35,005,DIR SEG OFICIAL,GZ Oriente - Ofic,G.OFICIAL 1841
1874,43,008,DIR SEG PEQUEÑA,GZ Semill Reg-Peq,GER PYME 1874
1875,17,006,DIR SEG MEDIANA,GZ Costa - Med,GER PYME 1875
1876,17,006,DIR SEG MEDIANA,GZ Costa - Med,GER PYME 1876
1878,43,006,DIR SEG PEQUEÑA,GZ Reactivac-Peq,GER PYME 1878
1879,17,005,DIR SEG MEDIANA,GZ Ororiente- Med,GER PYME 1879
1880,43,005,DIR SEG PEQUEÑA,GZ Occidente - Peq,GER PYME 1880
1881,43,006,DIR SEG PEQUEÑA,GZ Reactivac-Peq,GER PYME 1881
1882,43,008,DIR SEG PEQUEÑA,GZ Semill Reg-Peq,GER PYME 1882
1883,43,008,DIR SEG PEQUEÑA,GZ Semill Reg-Peq,GER PYME 1883
1884,43,005,DIR SEG PEQUEÑA,GZ Occidente - Peq,GER PYME 1884
1885,43,004,DIR SEG PEQUEÑA,GZ Antioquia - Peq,GER PYME 1885
1886,43,008,DIR SEG PEQUEÑA,GZ Semill Reg-Peq,GER PYME 1886
1887,43,004,DIR SEG PEQUEÑA,GZ Antioquia - Peq,GER PYME 1887
1888,43,008,DIR SEG PEQUEÑA,GZ Semill Reg-Peq,GER PYME 1888
1889,43,004,DIR SEG PEQUEÑA,GZ Antioquia - Peq,GER PYME 1889
1909,43,007,DIR SEG PEQUEÑA,GZ Semill Btá - Peq,GER PYME 1909
1925,43,001,DIR SEG PEQUEÑA,GZ Btá 1 - Peq,GER PYME 1925
1926,43,003,DIR SEG PEQUEÑA,GZ Btá Sabana - Peq,GER PYME 1926
1929,43,005,DIR SEG PEQUEÑA,GZ Occidente - Peq,GER PYME 1929
1930,43,006,DIR SEG PEQUEÑA,GZ Reactivac-Peq,GER PYME 1930
1932,43,005,DIR SEG PEQUEÑA,GZ Occidente - Peq,GER PYME 1932
1933,17,008,DIR SEG MEDIANA,GZ Occidente - Med,GER PYME 1933
1938,43,008,DIR SEG PEQUEÑA,GZ Semill Reg-Peq,GER PYME 1938
1947,17,003,DIR SEG MEDIANA,GZ Btá Centro - Med,GER PYME 1947
1950,17,004,DIR SEG MEDIANA,GZ Nororiente- Med,GER PYME 1950
1954,17,010,DIR SEG MEDIANA,GZ Construct - Med,GER PYME 1954
1955,17,006,DIR SEG MEDIANA,GZ Costa - Med,GER PYME 1955
1963,43,003,DIR SEG PEQUEÑA,GZ Btá Sabana - Peq,GER PYME 1963
2014,43,003,DIR SEG PEQUEÑA,GZ Btá Sabana - Peq,GER PYME 2014
2015,01,004,DIR SEG EMPRESARIAL,GZ Btá 2A - Emp,GER EMPRESARIA 2015
2016,17,007,DIR SEG MEDIANA,GZ Antioquia - Med,GER PYME 2016
2017,17,006,DIR SEG MEDIANA,GZ Costa - Med,GER PYME 2017
2018,43,004,DIR SEG PEQUEÑA,GZ Antioquia - Peq,GER PYME 2018
2019,43,004,DIR SEG PEQUEÑA,GZ Antioquia - Peq,GER PYME 2019
2021,43,002,DIR SEG PEQUEÑA,GZ Btá 2 - Peq,GER PYME 2021
2022,43,003,DIR SEG PEQUEÑA,GZ Btá Sabana - Peq,GER PYME 2022
2023,17,007,DIR SEG MEDIANA,GZ Antioquia - Med,GER PYME 2023
2024,43,002,DIR SEG PEQUEÑA,GZ Btá 2 - Peq,GER PYME 2024
2027,43,003,DIR SEG PEQUEÑA,GZ Btá Sabana - Peq,GER PYME 2027
2028,17,003,DIR SEG MEDIANA,GZ Btá Centro - Med,GER PYME 2028
2029,17,004,DIR SEG MEDIANA,GZ Nororiente- Med,GER PYME 2029
2031,17,004,DIR SEG MEDIANA,GZ Nororiente- Med,GER PYME 2031
2033,17,004,DIR SEG MEDIANA,GZ Nororiente- Med,GER PYME 2033
2035,17,005,DIR SEG MEDIANA,GZ Ororiente- Med,GER PYME 2035
2036,35,001,DIR SEG OFICIAL,GZ Antioq - Ofic,G.OFICIAL 2036
2037,35,001,DIR SEG OFICIAL,GZ Antioq - Ofic,G.OFICIAL 2037
2038,35,001,DIR SEG OFICIAL,GZ Antioq - Ofic,G.OFICIAL 2038
2039,35,004,DIR SEG OFICIAL,GZ Central - Ofic,G.OFICIAL 2039
2040,35,004,DIR SEG OFICIAL,GZ Central - Ofic,G.OFICIAL 2040
2041,35,002,DIR SEG OFICIAL,GZ Costa - Ofic,G.OFICIAL 2041
2042,35,002,DIR SEG OFICIAL,GZ Costa - Ofic,G.OFICIAL 2042
2043,35,002,DIR SEG OFICIAL,GZ Costa - Ofic,G.OFICIAL 2043
2044,35,002,DIR SEG OFICIAL,GZ Costa - Ofic,G.OFICIAL 2044
2045,35,002,DIR SEG OFICIAL,GZ Costa - Ofic,G.OFICIAL 2045
2046,35,005,DIR SEG OFICIAL,GZ Oriente - Ofic,G.OFICIAL 2046
2047,35,005,DIR SEG OFICIAL,GZ Oriente - Ofic,G.OFICIAL 2047
2048,35,005,DIR SEG OFICIAL,GZ Oriente - Ofic,G.OFICIAL 2048
2049,35,005,DIR SEG OFICIAL,GZ Oriente - Ofic,G.OFICIAL 2049
2050,35,003,DIR SEG OFICIAL,GZ Occidente - Ofic,G.OFICIAL 2050
2051,35,003,DIR SEG OFICIAL,GZ Occidente - Ofic,G.OFICIAL 2051
2052,35,003,DIR SEG OFICIAL,GZ Occidente - Ofic,G.OFICIAL 2052
2056,17,005,DIR SEG MEDIANA,GZ Ororiente- Med,GER PYME 2056
2059,35,003,DIR SEG OFICIAL,GZ Occidente - Ofic,G.OFICIAL 2059
2069,35,001,DIR SEG OFICIAL,GZ Antioq - Ofic,G.OFICIAL 2069
9799,09,009,DIRECCION GENERAL,DIR SEG PEQUEÑA,GZ Btá 1 - Peq
9800,09,009,DIRECCION GENERAL,DIR SEG PEQUEÑA,GZ Semill Btá - Peq
9802,09,009,DIRECCION GENERAL,DIR SEG PEQUEÑA,GZ Semill Reg - Peq
9803,09,009,DIRECCION GENERAL,DIR SEG PEQUEÑA,GZ Occidente - Peq
9874,43,001,PYME,DIR SEG PEQUEÑA,GZ Antioquia - Peq
9876,43,003,PYME,DIR SEG PEQUEÑA,GZ Btá Sabana - Peq
9888,43,007,PYME,DIR SEG PEQUEÑA,GZ Reactivación-Peq
9092,09,009,DIRECCION GENERAL,DIR SEG MEDIANA,GZ Btá 4 - Med
9093,09,009,DIRECCION GENERAL,DIR SEG MEDIANA,GZ Btá 3 - Med
9094,09,009,DIRECCION GENERAL,DIR SEG MEDIANA,GZ Btá Centro - Med
9095,09,009,DIRECCION GENERAL,DIR SEG MEDIANA,GZ Oriente- Med
9873,17,010,PYME,DIR SEG MEDIANA,GZ Constructo - Med
9875,17,006,PYME,DIR SEG MEDIANA,GZ Occidente - Med
9877,17,005,PYME,DIR SEG MEDIANA,GZ Oriente - Med
9887,17,005,PYME,DIR SEG MEDIANA,GZ Costa - Med
9796,09,009,DIRECCION GENERAL,DIR SEG MEDIANA,GZ Antioquia - Med
1032,15,001,EMPRESARIAL,DIR SEG EMPRESARIAL,GZ Btá 2A - Emp
9097,09,009,DIRECCION GENERAL,DIR SEG EMPRESARIAL,GZ Costa - Emp
9098,09,009,DIRECCION GENERAL,DIR SEG EMPRESARIAL,GZ Antioq Eje - Emp
9099,09,009,DIRECCION GENERAL,DIR SEG EMPRESARIAL,GZ Btá 2B - Emp
9172,09,009,DIRECCION GENERAL,DIR SEG EMPRESARIAL,GZ Antioquia - Emp
9173,09,009,DIRECCION GENERAL,DIR SEG EMPRESARIAL,GZ Occidente - Emp
9963,01,001,EMPRESARIAL,DIR SEG EMPRESARIAL,GZ Btá 3 - Emp
9966,40,001,EMPRESARIAL,DIR SEG EMPRESARIAL,GZ Btá 1 - Emp
9971,39,001,EMPRESARIAL,DIR SEG EMPRESARIAL,GZ Oriente - Emp
9144,09,009,DIRECCION GENERAL,DIR SEG CORP - INST,GZ Ss No Fros-Corp
9145,09,009,DIRECCION GENERAL,DIR SEG CORP - INST,GZ Agroind-Corp
9729,10,000,CORP - INST,DIR SEG CORP - INST,GZ Fro Instit-Inst
9964,03,002,CORP - INST,DIR SEG CORP - INST,GZ Cio y Manuf-Corp
9970,13,001,CORP - INST,DIR SEG CORP - INST,GZ Infr Rec Nat-Cor
9877,09,001,CORP - INST,DIR SEG CORP - INST,GZ Const Inmob-Corp
9838,35,000,SEGMENTO OFICIAL,DIR SEG OFICIAL,GZ Antioqui-Oficial
9839,35,000,SEGMENTO OFICIAL,DIR SEG OFICIAL,GZ Central - Oficia
9840,35,000,SEGMENTO OFICIAL,DIR SEG OFICIAL,GZ Costa - Oficial
9973,10,002,SEGMENTO OFICIAL,VICE BANCA EMPRESAS,DIR SEG OFICIAL
9841,35,000,SEGMENTO OFICIAL,DIR SEG OFICIAL,GZ Oriente - Oficia
9143,09,009,DIRECCION GENERAL,VICE BANCA EMPRESAS,DIR SEG CORP - INST
9171,09,009,DIRECCION GENERAL,VICE BANCA EMPRESAS,DIR SEG EMPRESARIAL
9798,09,009,DIRECCION GENERAL,PYME,DIR SEG PEQUEÑA
9089,09,009,DIRECCION GENERAL,PYME,DIR SEG MEDIANA
9003,09,009,DIRECCION GENERAL,VICE BANCA EMPRESAS,PYME
9842,35,000,SEGMENTO OFICIAL,DIR SEG OFICIAL,GZ Occidente-Oficia
1031,43,001,DIR SEG PEQUEÑA,GZ Btá 1 - Peq,GER PYME 1033
1636,43,008,DIR SEG PEQUEÑA,GZ Semill Reg-Peq,GER PYME 1537
1473,03,002,DIR SEG CORP - INST,GZ Infr RecNat-Corp,GER CORP NO GEST
1438,43,005,DIR SEG PEQUEÑA,GZ Occidente - Peq,GER PYME 1741
1637,03,003,DIR SEG CORP - INST,GZ Const Inmob-Corp,AMARILO             
1474,03,004,DIR SEG CORP - INST,GZ Fro Instit-Inst,GCIA  FED NAC CAF
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
